"","agency_cd","site_no","station_nm","site_tp_cd","dec_lat_va","dec_long_va","coord_acy_cd","dec_coord_datum_cd","alt_va","alt_acy_va","alt_datum_cd","huc_cd","data_type_cd","parm_cd","stat_cd","ts_id","loc_web_ds","medium_grp_cd","parm_grp_cd","srs_id","access_cd","begin_date","end_date","count_nu"
"21329","USGS","01468500","Schuylkill River at Landingville, PA","ST",40.6292577,-76.1246622,"S","NAD83"," 470.64",0.01,"NGVD29","02040203","uv","00095",NA,121430,NA,"wat",NA,1646694,0,2013-09-21,2019-12-23,2284
"24201","USGS","01473000","Perkiomen Creek at Graterford, PA","ST",40.22954725,-75.451567,"S","NAD83"," 112.66",0.01,"NGVD29","02040203","uv","00095",NA,246642,NA,"wat",NA,1646694,0,2018-11-29,2019-12-23,389
"24305","USGS","01473169","Valley Creek at PA Turnpike Br near Valley Forge","ST",40.07927367,-75.46074808,"S","NAD83"," 108.62",0.1,"NGVD29","02040203","uv","00095",NA,243576,NA,"wat",NA,1646694,0,2018-10-01,2019-12-23,448
"24397","USGS","01473500","Schuylkill River at Norristown, PA","ST",40.11121934,-75.3468502,"S","NAD83"," 51",0.1,"NGVD29","02040203","uv","00095",NA,121514,NA,"wat",NA,1646694,0,2012-02-23,2019-12-09,2846
"24533","USGS","01473900","Wissahickon Creek at Fort Washington, PA","ST",40.1239987,-75.2198992,"S","NAD83"," 139.98",NA,"NGVD29","02040203","uv","00095",NA,121524,NA,"wat",NA,1646694,0,2019-08-25,2019-12-05,102
"24807","USGS","01474000","Wissahickon Creek at Mouth, Philadelphia, PA","ST",40.01539,-75.2068459,"S","NAD83"," 26.41",0.1,"NGVD29","02040203","uv","00095",NA,121533,NA,"wat",NA,1646694,0,2019-08-26,2019-12-04,100
"25730","USGS","01474500","Schuylkill River at Philadelphia, PA","ST",39.9678905,-75.1885123,"S","NAD83"," 5.74",0.1,"NGVD29","02040203","uv","00095",NA,121541,NA,"wat",NA,1646694,0,2018-10-01,2019-12-23,448
"26134","USGS","01475530","Cobbs Cr at U.S. Hghwy No. 1 at Philadelphia, PA","ST",39.97483455,-75.2799067,"S","NAD83"," 121.76",0.1,"NGVD29","02040202","uv","00095",NA,121560,NA,"wat",NA,1646694,0,2018-10-01,2019-12-04,429
"26154","USGS","01475548","Cobbs Creek at Mt. Moriah Cemetery, Philadelphia","ST",39.9327861,-75.2376361,"H","NAD83"," 20",NA,"NGVD29","02040202","uv","00095",NA,121570,NA,"wat",NA,1646694,0,2018-10-01,2019-12-04,429
"27382","USGS","01478120","East Branch White Clay Creek at Avondale, PA","ST",39.8284429,-75.780773,"S","NAD83"," 270.00",NA,"NGVD29","02040205","uv","00095",NA,257056,NA,"wat",NA,1646694,0,2019-11-14,2019-12-23,39
"27554","USGS","01478245","White Clay Creek near Strickersville, PA","ST",39.7475,-75.7708333,"1","NAD83"," 120",NA,"NGVD29","02040205","uv","00095",NA,254854,NA,"wat",NA,1646694,0,2019-10-01,2019-12-23,83
"27696","USGS","01478650","WHITE CLAY CREEK AT NEWARK, DE","ST",39.6892222,-75.74875,"S","NAD83"," 55.31",NA,"NAVD88","02040205","uv","00095",NA,254322,NA,"wat",NA,1646694,0,2019-09-19,2019-12-23,95
"27824","USGS","01479000","WHITE CLAY CREEK NEAR NEWARK, DE","ST",39.6992222,-75.67502778,"S","NAD83"," 7.86",NA,"NAVD88","02040205","uv","00095",NA,239815,NA,"wat",NA,1646694,0,2018-10-18,2019-12-23,431
"28078","USGS","01480065","CHRISTINA RIVER AT NEWPORT, DE","ES",39.71063889,-75.6087222,"S","NAD83"," 0.00",NA,"NAVD88","02040205","uv","00095",NA,69383,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"28802","USGS","01480617","West Branch Brandywine Creek at Modena, PA","ST",39.9617734,-75.8013341,"S","NAD83"," 262.52",NA,"NAVD88","02040205","uv","00095",NA,121648,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"29569","USGS","01480870","East Branch Brandywine Creek below Downingtown, PA","ST",39.9687191,-75.6732715,"S","NAD83"," 195",NA,"NGVD29","02040205","uv","00095",NA,121672,NA,"wat",NA,1646694,0,2007-10-01,2019-12-10,4453
"29937","USGS","01481000","Brandywine Creek at Chadds Ford, PA","ST",39.8698328,-75.5932623,"S","NAD83"," 150.45",0.1,"NGVD29","02040205","uv","00095",NA,121681,NA,"wat",NA,1646694,0,2007-10-01,2019-12-11,4454
"30133","USGS","01481500","BRANDYWINE CREEK AT WILMINGTON, DE","ST",39.7695,-75.5766944,"1","NAD83"," 67.17",NA,"NAVD88","02040205","uv","00095",NA,69393,NA,"wat",NA,1646694,0,2007-10-01,2019-12-23,4466
"30692","USGS","01484085","MURDERKILL RIVER AT BOWERS, DE","ST-TS",39.05830556,-75.3976111,"5","NAD83"," 0",0.01,"NAVD88","02040207","uv","00095",NA,69425,NA,"wat",NA,1646694,0,2007-10-17,2015-05-04,2756
